,1970,1980,1990,2000,2010
"bloody, bit, mate",0.02684022178698342,2.7211796805204358e-05,5.328458883013809e-06,-8.182611964002717e-06,-0.03403658721344982
"boat, sea, ship",-0.0005112689672159831,4.21228514824179e-06,-6.984873669324543e-05,-0.00010209582751485868,0.010758781831327724
"book, read, write",-0.09755769956427685,-1.3701880334338057e-05,8.383565636904677e-05,6.0890536587976385e-05,-0.00575873348134337
"car, drive, road",0.013738556674070423,-4.0851164385458105e-05,-6.430893563447171e-05,4.061273284605704e-05,-0.0024766971771441604
"church, priest, man",-0.0067230014228698565,-0.00014456521421379875,3.263322915358913e-05,-0.00015531001190538518,0.0225379696184973
"color, font, plckman",-0.014577816096334573,-7.243976551762898e-05,-5.206636888033245e-05,-3.7359509406087454e-05,0.016194205206375045
"court, case, lawyer",-0.015435304656875815,-0.00011398193100831122,6.0653319451375864e-05,-0.0001496494278399041,0.0225876320464522
"dad, mom, kids",-0.1250765594013501,-9.903881982609164e-05,2.664412677688688e-05,2.757930997177027e-05,0.07360641963168746
"dear, man, young",0.06315368386276532,0.00010798171206261031,-6.14114878771943e-05,-0.00022417030777432956,-0.10731913568452
"doctor, hospital, blood",-0.004663402809455874,-2.298148683621548e-05,-2.0083525669178925e-06,-2.5268769604736008e-05,0.010049132957647089
"dog, cat, boy",-0.0038884444129507756,-6.863277576485416e-05,6.016795668983832e-05,-2.492514426677417e-05,-0.04291410539872231
"eat, nice, food",-0.013778330090644886,5.337648599379463e-05,0.00014096510949457297,-2.0902825781377032e-07,-0.01018106254241502
"excuse, man, hotel",0.02502322288637515,0.00019321474246680737,8.15058997432061e-05,-6.06106568739051e-05,-0.09591326718873461
"film, movie, scene",-0.00843638966580329,6.15511189607787e-05,-7.812785770511255e-05,-5.7216758250433486e-05,-0.0038605024328717263
"fuck, fucking, shit",-0.38076320823893184,-0.0003234056675864849,6.873484744573943e-05,0.0002796198386931792,0.17925504934464698
"game, team, ball",-0.0012626028001250234,-0.000164769862749381,1.741222126838693e-05,-0.0001531143716420047,0.0023844948491387186
"ghost, evil, magic",-0.005181632484891452,-2.727634728216799e-05,8.940826774050947e-06,-1.9124073332932312e-05,0.009200168780807871
"gold, find, treasure",-0.013687262641497,-2.2644388991466258e-05,-0.00011071546418861544,6.151283287181286e-07,0.003419569823108759
"guys, love, wait",-0.2115219282786711,-0.00011966964666498825,-0.00034744738513836637,2.7620906621450558e-05,0.29701955403288594
"house, door, night",0.03129750086736749,6.125667286482894e-05,-4.910376549105422e-05,2.613271863083355e-05,-0.03178169950024312
"kill, man, dead",-0.010100879018864362,2.620377290440956e-05,0.0001282681545262676,-1.7264120288018603e-05,-0.0034195524731330806
"king, lord, princess",-0.013135523955497774,-5.800730832561385e-05,-5.7522493989381474e-05,-9.194143422064371e-05,0.011561663627617236
"leave, understand, excuse",0.30695354552881327,0.00011301945960440207,-0.00015984945275704376,-0.00033778218494262546,-0.03646541941270698
"love, life, heart",-0.0438519105728119,0.00011493608826640411,0.0001508069490228081,1.16248313588585e-05,0.0021884604011574993
"love, son, heart",0.01444383349755185,2.7450930247141514e-05,0.00020463241708057467,-0.00013900654062126705,-0.11641506647333699
"love, wife, married",-0.007853537974369829,3.183450598953641e-05,-2.311889147676993e-06,-0.00010241597192361951,0.025729914600560733
"love, woman, sex",0.059344664801301406,1.663725015532691e-06,0.00013376753850025125,3.019717496499652e-05,-0.13659573257427837
"man, baby, shit",0.05694518209566013,-0.00018126179111277452,0.0001524237795820227,-0.00010966297509185097,-0.09218274528848269
"man, bomb, security",-0.07461312791929231,-0.00019690922999870963,4.416960473463405e-05,0.00013587219382316107,0.10708883433107985
"man, guy, hell",0.07699728805982886,0.0009206660615745932,0.00031175069307209924,-0.0004122094360354822,-0.472601781017147
"man, laughing, chuckles",-0.015130150630284334,6.020348610036308e-05,-0.00018955102495965548,-0.00021174075118324254,0.19570820371154696
"man, people, village",0.019152414282871177,0.00020697288346127607,-1.88700860235258e-05,-0.00023019633590593003,-0.006945341949176509
"master, fight, brother",0.1464938341814559,2.9575612643384375e-05,-0.00013212022349762265,-0.0002904171524278354,-0.013393580882620881
"money, pay, business",0.04016518734533747,-0.00014871785833747708,1.0502245004317956e-05,-4.623389941116329e-05,0.019415454344198224
"mother, father, son",-0.05055363975952787,-2.9044806609590523e-05,0.00012874921463890132,1.453488312108675e-05,0.02094777571664963
"music, dramatic, instrumental",-0.002246173849925981,6.992144881223794e-05,-0.00018444562374497764,-6.989768371568061e-05,-0.01571659417641058
"nice, bit, guy",-0.03997042297396547,-2.7344845875632018e-05,3.6299074736234616e-05,1.461433021177072e-05,0.028648999406414077
"people, country, government",0.01159283697779756,4.941030738336849e-05,2.408645650575636e-05,-5.6474671964679146e-05,-0.024691589664143976
"people, thing, great",-0.07567634557926795,-0.0004785663841175847,0.00013575456296166521,1.7922578990692273e-05,0.17101673629804282
"plane, ship, fire",0.013894767515921558,-8.007023961908999e-05,-9.871946102180118e-05,-0.000136594295327086,0.003844054063392832
"police, found, murder",0.004205771034321515,-1.1598087894526543e-06,-8.933192475524265e-06,-9.440813164474093e-05,0.0023383599004773714
"police, gun, car",0.040816703367454465,-6.449891043303069e-05,-2.461241456330754e-05,-0.00017177349218400195,-0.0013457450404530391
"school, teacher, class",0.008248446721154323,3.681853922898881e-05,2.0684134995008208e-05,-1.1289730537100695e-05,-0.04095488359098454
"show, laughter, audience",0.0013924141776442411,6.953151023481041e-05,-0.00013757104443357093,-0.00017881361509353155,0.0038863374293214292
"sir, girl, happened",-0.01319202108970785,-0.00015532313955191057,-0.000213695025195193,-3.4748333746392746e-05,0.15471908392282785
"sir, man, men",-0.004931050039886031,-9.230514478986152e-05,0.0002081248694594251,-0.0001672577163844835,-0.012084755946489167
"spanish, speaking, language",-0.029711124465393368,-7.3897064112316e-06,-2.6734182029031217e-05,1.3132077640420903e-05,-0.007332323545028885
"stop, wait, shut",0.014608563023813304,0.00023889383737696335,1.751018044160446e-05,-4.7521871920253034e-05,-0.0203587101868834
"time, japanese, stop",0.020277266985431197,-3.340837155008103e-05,-2.5712493496143907e-05,-0.0001486615210524178,-0.00013918131980972248
"time, life, understand",0.02703455947630573,-2.69740476142033e-05,-0.00017804970229917672,-0.00016225259059865493,0.02009526120036753
"time, talk, make",0.01652863783419889,-6.141939957160503e-05,3.383446073712548e-05,0.00011732842904166318,-0.0031651226790927467
"town, horse, sheriff",0.0958621443278389,-0.0002050332295766566,-0.00012071600485796807,-0.0001964290022442583,-0.005108220530019025
"uncle, time, boss",-0.05023609127056261,0.0001937527795234928,0.00017200832917296793,-0.00012639875512832077,-0.015639924107745173
"vous, pas, les",0.0037918782136330265,-7.771204400341958e-05,8.39244944472739e-05,4.287011779524619e-05,-0.005263616822503536
"war, men, army",0.0017972643654502463,-6.51009854664153e-05,-9.599435861673555e-05,3.2580369861534564e-05,0.011867861560858728
"water, people, find",0.0077989067176531535,-1.7065623978851363e-05,-5.928923258124996e-06,-0.00014017482135386672,0.012536595719211618
"win, game, fight",-0.00757982272625668,-0.00012323383998591453,-3.982432576776773e-05,1.2259169238859613e-05,-0.006339946690104625
"work, job, office",-0.026181291996181244,-6.440149536501849e-05,-7.753663703624625e-05,9.86185550573282e-05,0.05489575862156926
"world, human, planet",-0.025702354276290862,0.00010661175133463985,0.00022874688875162974,-7.57005191189819e-05,-0.034168065264566394
"young, bastard, hee",-0.02077109536912758,-0.00022491213348985184,-0.0002511717248125933,0.006507293626782484,0.0008487615505146096
