,Action,Adventure,Animation,Crime,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
"bastard, young, stop",0.018528929384956427,-0.011108346582659578,0.019095063086751907,0.011962777254666435,-0.0488962454992361,-2.8020316221955e-05,-3.9069327293361766e-05,-0.0118205705289256,8.906353700433023e-06,-8.333202526955574e-05,0.0002166400149690162,0.01068545440057278,-1.3300985301611945e-05,7.035084008610859e-05,0.04132536841675938
"boat, ship, island",0.032242285127722425,0.20397490744471725,0.05767968531654333,0.020436515228993812,0.08131409474844986,9.443818180443486e-05,4.323601579545033e-05,-0.028841481865811147,0.00010080002323464843,-1.3540659438149305e-05,-6.617751478188438e-05,-0.06533672297564408,-0.048476990592462244,-1.1526421262120223e-05,-0.4087089293539534
"book, read, write",-0.07293416405991593,0.022048289865779225,0.01840597078103201,-0.01730306904801182,0.0646955878864901,0.00013259268519050238,2.5878968691328552e-05,-0.07136175825689861,-4.709227349142253e-05,0.00019364235049579293,0.00025871805928545655,-0.036505591198874754,0.025550922986440128,8.7431101416513e-06,-0.020144284395007372
"car, road, truck",-0.015232440854106244,-0.028712012745018,-0.20240064464087482,0.0022353387457769713,0.01649168572612325,4.811269354831893e-05,-0.00044468821511345347,0.10280088947729382,-0.00015396170305725931,-3.607386679504998e-05,0.00026902242734649917,0.01470285399864224,0.10776192251250905,4.552516865707901e-05,-0.2575671045425272
"color, font, nbsp",0.01093690463949315,-0.00784033004538287,0.01186403474821418,0.02345389898528083,-0.08309268213292853,-5.85426923862542e-05,4.361224656451723e-05,0.004802353801437675,-4.2503205330612914e-05,-1.5718010217824485e-06,4.9738710004021414e-05,0.0034400478614315944,0.06264982274842623,-0.0007252591984224233,0.01946885747168886
"computer, system, security",0.1063428782608753,0.004100377102531638,0.10212540673455806,-0.010341156147880781,-0.03775503881320219,-0.0002387278609603527,-0.0005530035795351385,-0.1234692779883062,-0.00013129372238407377,-4.349464666120184e-05,6.874061273265397e-05,0.322064111722284,-0.08230828040268534,-0.0019020832123337605,-0.0756170370325091
"dad, mom, mother",-0.14422028089938976,0.038791622642747825,-0.10918075194513222,-0.0826154198457516,0.191245610043552,-3.0004396649019327e-05,3.5117762559710997e-05,0.0140153137190282,0.00018060349838044942,-0.00014043525857232453,-0.0001963174420325231,0.02114753867363106,0.07112660280472483,5.2648438445768164e-05,0.021750604688703712
"doctor, hospital, remember",-0.1602227653893351,-0.11281157887060544,0.022610864261878305,-0.046538209471691516,-0.17501615469154785,9.062251592695247e-06,1.6746978592774298e-05,0.20920532634409028,4.532147603253378e-05,2.320743806194514e-05,-0.00023351373511104612,0.012125395904149627,0.15450274787508533,2.389291832738394e-05,-0.06802071960790834
"eat, day, time",-0.1715954007449909,-0.003813562791037839,0.08141554621761316,0.04358163208962651,0.2886729852252756,0.0005176858576305676,7.329962528146439e-05,-0.18612083799325774,0.00019587193648895607,-6.45930012979079e-05,9.25651729630772e-05,-0.030006769213287043,-0.06470675822129124,0.0001812841655723929,-0.052556115719484264
"film, movie, scene",0.06086293987902991,0.030687779084701106,0.028406694783484454,-0.08943545840702427,-0.007989768464994995,6.810333388784784e-06,9.572103493060702e-05,0.04036085601637751,0.00013103929797730896,-8.336370592587627e-05,-0.0005306964508235978,0.02295949856443258,0.03203089689714034,7.067771993318761e-05,0.05286968476338427
"find, found, years",0.06543113321095007,0.17891654760933307,-0.010479331851286133,0.010810891601977346,0.06954695099648234,0.00010961534644593485,7.05652553145697e-05,0.013473041662564356,-0.00042528780753492423,-5.4758313581260154e-05,4.766338406625437e-06,-0.0481510608001372,-0.12568470302358037,5.29700605929051e-05,-0.11481153651640885
"fontcolor, batman, simon",0.00010344339534640312,0.012634288418666983,0.04879201278072287,-0.001715364869141922,0.017045056979782203,-0.0005118720064274385,-0.0010925391035648824,0.02613168584923642,6.607992622753578e-06,-0.00010279467039708834,-6.623983566100833e-05,-0.07528904745123555,-0.02533701878019201,5.09605117498535e-05,0.02176687223635765
"fucking, fuck, shit",-0.06447047515644044,-0.22538222526418394,-0.17069415546939126,0.07469182472050306,-0.453556795946497,-0.00018527982138039079,-0.00017780824383462068,0.18909480150068703,-0.00018145252329615502,-4.5791487082169624e-05,-0.00018185340013587847,-0.02997820647806293,0.2007405431177176,0.00011396629525517454,0.02387133803502217
"game, win, play",0.09831076287991891,0.02076341031352058,0.05250316740648486,-0.024708334508432017,0.07744209371821853,-0.00014243527311919024,-6.8348494678960314e-06,-0.07818041725568037,0.00011176992533079577,-4.322682798374444e-05,-0.00011549980808922555,-0.005081202781267891,-0.07091568659416225,3.277721237426867e-05,-0.1530177283068399
"gold, treasure, don",-0.03261299213909297,0.0785783046776487,0.03352411881678563,-0.026070330781408302,0.057825149076052185,-7.553485374955926e-05,-2.778333241781894e-05,-0.052089717146373005,-1.9029964465122617e-05,-0.00010244881923426874,-1.6496396710863337e-06,-0.020488352229222073,-0.03373836479659076,-0.00018559302525333887,0.07428942868402433
"guys, school, girls",-0.040639736984303454,-0.015787178584105277,-0.029206450161561648,-0.046493923664456815,0.18385281987502822,-7.948234087962192e-05,0.00022165701352583334,0.029771992019959725,0.00021371756976829026,-2.3547829187009484e-05,0.00040241403371510387,-0.055793204308884015,-0.04686378848782624,6.250858666279058e-05,-0.28348659400497156
"guys, wait, shit",-0.22897837864184112,-0.08446279206145846,-0.13682894216799468,-0.12944227171101375,-0.02594429719283653,-0.00016409521776949987,-0.00010106973449919288,0.5020082409304507,-0.0009274978269837586,6.0941763877053745e-05,-0.0003322394040878862,0.015115139249246567,0.18500855702222907,-8.184792812371278e-05,-0.10635313156438153
"house, night, door",-0.4834668110634084,-0.30786897158031934,-0.10440071218999947,-0.11779080216729199,-0.04620567298070455,9.332949389317946e-05,2.902048899205978e-05,0.7852453323303052,-0.000254464306914004,0.00014936399384168908,-0.0010440178675708012,-0.11927345711774251,-0.058280931265471736,6.0464419176176065e-05,0.010331668641839098
"human, people, virus",-0.028323147580181285,-0.04978215290861954,0.0188801715775071,-0.12512507166502473,0.007207485429262306,-0.00018504915897210594,8.152027446883814e-05,0.35985620295105036,0.00010402020874678009,-0.00011539320439624134,6.229127120604971e-05,0.21539102324095438,-0.16762068600655766,-0.0010243834251766337,-0.2581368947467577
"kill, dead, killed",0.2082972471980611,0.003905768554432143,-0.21425479948084103,0.04408659920500213,-0.06462371657653421,0.00023560824593005236,0.00014465647552430738,0.08448682020175902,-0.00022798622938546842,0.00011928696494578617,-0.00022067779877943394,0.056556206924142316,0.04833834856617614,0.0001273954305666125,0.07942644851996775
"king, father, princess",0.013760073182311316,0.279790294211125,0.007506384568841895,-0.05464975234281155,0.0718083086394472,0.00042578137799864635,6.676062299049157e-05,-0.17509511413663859,-8.72437509191748e-06,-8.008813165361062e-05,4.9657446652418e-06,-0.012927439618579228,-0.06712366059946362,5.07525049699975e-05,-0.009826798599084086
"leave, understand, time",-0.3222252786017634,-0.056579214202429284,0.08867138295772747,0.022430409320804756,0.005750205749563975,-0.0006562927692357334,-3.881401993366396e-05,0.09340730271696884,0.00018934229091716048,1.359974339720793e-05,-0.00010800743939398672,-0.00979962011842872,0.07193264396846644,0.00015118314068035543,0.1432908642180597
"love, heart, life",-0.15958802951809048,-0.10907031233091402,0.0013322176758236992,-0.002231780030342634,-0.016381794800054195,0.00014890264264977304,5.643911319297423e-05,-0.12259484265723586,0.0005650810903023995,-0.00015050026104290737,0.002214883890701458,-0.027688990501701483,-0.12513832964577887,9.99436968163181e-05,0.04368660865377727
"magic, vampire, witch",-0.0006399849726221873,0.0506163518757603,0.018813315420629806,-0.1921359511798073,0.10113913677741948,0.0013914649134676438,-0.0003819601873917833,0.16709076630979958,-0.00034188740940899187,-7.518476468248991e-05,-0.00043463092151796445,-0.04240393629015671,-0.2094133526643418,-3.6510471536299605e-05,0.0015206031605388137
"man, hell, guy",0.2654827915903297,0.010718655159507762,0.06793976525477774,0.16058555892959703,-0.16489802375690488,0.00011149064084747806,-0.00025450392995818305,0.11834203590842662,0.0003641306673078937,-2.473307540640235e-05,-0.00035761596882366575,0.059226664313428046,0.05229960618817131,0.00013492140325599422,0.0682465328210502
"man, horse, town",-0.1641078668392879,-0.027741224182136648,-0.0926288056989506,-0.044240826477107476,0.001350643228761328,-0.00013674718320544343,3.448694615659775e-05,-0.20580781712669705,0.00015037201981571435,4.133287075092085e-05,0.00042413284063513856,0.004941936131217517,-0.16879685536696343,-6.98816297293181e-05,0.8192134293963145
"master, sword, kill",0.2789637904356823,0.003667930814117426,-0.0754959078644788,-0.04790506402878236,-0.05090418838108235,-3.850935354421381e-05,1.7768877104917813e-05,-0.1487551721129421,0.00023737665452649992,-9.497434257355053e-05,-7.1053838013313e-05,-0.038327133333041274,-0.025980126269132597,3.710353721875226e-05,-0.03632699048021437
"mate, bit, bloody",-0.006612596235299861,0.05812070152751403,-0.018342093426326755,0.02078019450800639,0.048063577184620954,-7.429571269312873e-05,6.301202287062324e-05,-0.04472190678006882,2.8143060365026784e-05,-0.00010269036783938645,-2.0128341020608786e-06,-0.010688781962926441,0.050818781930502155,-1.2336342642971232e-05,-0.17780361632311714
"money, pay, business",0.11533180180776981,0.0010999446158166393,-0.06746637296510016,0.17460792784549994,0.021524479402614816,1.8144715795642696e-05,0.00016676036061102906,-0.28106366816791706,0.0003067862438017599,-0.00011028967310267035,8.470067905363976e-05,-0.09724497315983172,0.07121621898113517,-6.015890828159343e-06,0.07527539446099141
"music, dramatic, suspenseful",-0.015557670030375448,-0.0312135025360476,0.0038846778434162843,-0.0503460827235358,0.032975587109831395,-9.320398294221377e-05,3.488772447179933e-05,0.06652231459611357,3.9088856177205145e-05,-9.064315190698835e-05,-0.0001913091045935289,0.008288218639791012,-0.00017264544794670655,5.8876370677696244e-05,0.004502254012091811
"people, country, government",0.023504229280661093,-0.024734215813168703,-0.011680897166911564,-0.06716099662116903,0.029163308654460707,-3.9601276512257755e-05,2.02078867750366e-05,-0.08597349442061386,0.00020242994173136353,-0.00016636483360343846,-0.0003538205828590435,-0.06110791121591319,0.13524668342870427,4.533594734268398e-05,0.026002758189506814
"plane, train, minutes",0.09522029688378097,0.038912561467441265,0.002784393721867673,0.012034500379058954,0.037768278123166965,5.6924066484498326e-05,-8.829747000960175e-05,-0.09418361405869291,-0.0001293320380205687,-2.0172408994767466e-05,7.240095601446228e-05,-0.028073924151613028,0.08948328628684976,8.684648210355306e-05,-0.11794675584201553
"police, car, call",0.42542672003037296,0.018740209665338625,0.06243234482371918,0.4109559903590707,0.05742052091227379,2.2169517251313664e-05,0.00011053898337110013,-0.3798252101569233,-0.0005837624040503364,-3.4321116459068435e-05,-0.0007643983408343047,-0.13094156601073337,0.2191790349479561,9.639065199573693e-05,-0.0005888494255681387
"police, found, case",-0.2513223563582869,-0.16428894381897408,-0.0590010529731444,0.18507461595072527,-0.11715704550078954,6.592977479158435e-05,0.00012957880473818406,0.00236811403556203,0.00013429636401207645,0.0005177204802748747,-0.0005215811452217167,-0.07071961249675951,0.23454461479195743,0.00010230443976189108,-0.09029193972057303
"screaming, chuckles, man",0.04707087862516346,0.0697956829717441,0.06335344395802167,0.08036985729449952,0.007862557111366186,0.00017070868398150196,0.00014839874429095623,0.16685859458857522,8.043709551674993e-05,0.00010007877290263423,-0.0003588346971810097,0.015251042102136125,0.15997904003597796,0.00011363098910388558,-0.062480314316679
"ship, sir, planet",0.061885083166089316,0.16108590797375655,0.03181650032820471,-0.007327830007852754,0.04385869975430978,-0.00013120234780217288,8.997489112427814e-05,-0.07794593358721613,0.00013117172735110927,-6.627717539231526e-05,0.00011662642646115273,0.17339771771003143,-0.023542494294815697,-5.890631637239796e-05,0.008944321609849704
"sir, leave, brother",0.19461807220250193,-0.016518241332960315,0.0017164971814054297,-0.036743927950510624,0.01187950235862445,-0.00023873438840382732,0.00010114864231403065,-0.09189009906367573,-0.0001127224481867195,9.660482555773342e-05,0.0004194375578663312,0.014762580522074131,0.045362621425738325,-9.93081898418291e-05,-0.006160057139560471
"sir, man, dear",-0.08887004721509584,0.0446707483033606,-0.042731570292744436,0.07735543807939393,0.01056990631127519,-0.00015349662430708122,3.510406927376142e-05,0.158035664727322,0.00025344727172915693,0.00026811702991835773,0.00012788777303285315,0.054148547576232886,-0.004020144107016677,5.468282057163876e-05,-0.10556010990486797
"sir, men, war",0.03351009557900397,0.028120341172325425,-0.025065266871479253,-0.055319052593404194,-0.01595964563330199,-0.00023300008069782052,9.311446477733298e-05,-0.10842752069402195,9.993127478602482e-05,-0.00011868566980410833,0.00025068695458685397,-0.017272270871160345,-0.14799265483452473,0.0002113109572938754,0.11108749797810935
"sir, move, man",0.4722584725586785,0.01122017351735849,0.05917538757432794,-0.016085398440282006,-0.00032555792495259084,-5.482418418978341e-05,8.134059245068492e-05,-0.09090607209827795,0.00017009205344598044,-7.626245860592462e-06,0.00018265181461174507,0.06360939638034324,0.0845855381940055,0.0001221475683088613,-0.13272921524063785
"soul, man, evil",-0.12809902462322498,-0.15998290658171754,-0.05890660489808397,-0.019401293011469534,-0.23132175233968155,-1.4200199075276032e-05,6.556081272912628e-05,0.3758909609159673,9.292781753922341e-05,-8.411382395934197e-05,-0.00036896598612656817,-0.0689279387534043,-0.01975737839006797,2.2572189044445246e-05,0.01758853784480774
"speaking, spanish, man",0.031078382955456618,0.0014488000309711424,-0.10687444851419059,0.002848895507213456,0.01816329259804661,-2.1871551552976598e-05,1.2960795037320061e-05,-0.0497518463371307,2.613059823186603e-05,-0.00023713577775197336,-3.589953269056423e-05,-0.021148061365011017,0.011299390306930945,5.7554554895422605e-05,0.02015265428223456
"stop, wait, time",0.08810787617585447,0.005880590189008217,0.2407185552547162,0.04587885952059878,-0.054360150190404966,-0.0003037381666217698,6.214480055222182e-05,0.043914004051657685,-0.0001926521469739484,5.036157904214633e-05,7.121755947991915e-05,-0.0730871057264153,-0.283644091203314,4.3160698661282026e-05,-0.1766549634951955
"time, call, night",-0.24161745829769643,-0.0945765807882708,-0.1963641080456,0.030453481828772055,-0.0524200246845794,-9.651796062826179e-05,6.709959773809615e-06,-0.018469175023710704,-6.854265070349586e-05,0.00027909205891774036,0.0008037862226046855,0.03348577884958104,0.35479861878047814,0.00022776530590595812,-0.009049361232828068
"time, life, years",-0.009471994153500418,-0.09338593225129443,-0.026472850827303773,0.05586658161064406,-0.01680433781348256,3.278553572272358e-05,5.5618799115475515e-05,-0.07660941830636148,-0.00022490732334956576,0.000144220969559683,0.0004245307354722172,0.04071559666408575,0.11315236867221756,0.00019781202971058676,0.10957410854561367
"time, stop, leave",0.052931287411411176,-0.08621509229305957,-0.03497831178174238,0.014658138835329737,-0.10328670135459106,2.273653853990254e-05,7.33515689290698e-05,0.06332381876927684,-0.000432975477698605,-0.00010988219673890853,0.0005298347878124332,-0.00223771272067097,-0.15819450336653063,0.0001018189462129726,-0.015230397906580206
"time, wait, make",-0.07872262132241303,0.12606445309211267,0.47009848953894107,-0.08137860989518231,0.33855367302749073,-0.0001626104349270463,-0.0002525663682093615,-0.40850711144230445,3.272094535811121e-05,-8.838320718496107e-05,-0.0010079269677589764,-0.3734736993746992,-0.37434078877049615,-0.00038926814712647584,-0.21260945938638964
"time, world, planet",-0.04052686204886413,0.006267782409850042,-0.0062549607227992965,-0.028838662286943872,0.024230668238033104,-6.2935183109402715e-06,7.453336577811775e-05,0.016953516960711568,0.00016678898152311383,-0.0001761232060744078,6.283382754190825e-05,0.4239443165897683,-0.1905716661713086,-0.00014461496699480492,0.03309886379536775
"village, find, water",-0.09826731620796636,0.21855064751798636,0.07572151459498855,-0.09015413394990901,0.11681650072387129,-4.01396300730994e-05,7.10755656687656e-05,0.00167088883517863,-0.00012854217357727293,-5.574499027716229e-05,4.072146862199588e-05,-0.02735016977385385,-0.07652329373195244,4.603139211911689e-05,-0.03775188326503587
"world, power, time",0.3445189779122302,0.27468216105989995,0.2788393873379391,-0.24704901875156793,-0.004778825762514316,0.0008219466835726053,-0.0001264392627218225,-0.32394365297113836,0.00019731460577676607,-0.00025900516266119666,-0.0007536125604019617,-0.0013538308685383527,-0.23739518645743374,0.0001440932999974276,-0.05489025164413652
